defect,count,min_N,example_seed,mcc_live_count,min_live_N,min_live_seed
526910129,2,26180,"N=26180 (p,q,r,s)=(3285,24528,22895,1652)",0,,
678265226,2,31955,"N=31955 (p,q,r,s)=(7956,21840,23999,10115)",0,,
706148626,2,60255,"N=60255 (p,q,r,s)=(40480,42504,19775,17751)",2,60255,"N=60255 (p,q,r,s)=(40480,42504,19775,17751)"
1218540346,2,30195,"N=30195 (p,q,r,s)=(4956,6080,25239,24115)",2,30195,"N=30195 (p,q,r,s)=(4956,6080,25239,24115)"
1303985146,2,37635,"N=37635 (p,q,r,s)=(1596,35360,36039,2275)",2,37635,"N=37635 (p,q,r,s)=(1596,35360,36039,2275)"
1505243393,2,39988,"N=39988 (p,q,r,s)=(7245,19176,32743,20812)",0,,
1879502986,2,75213,"N=75213 (p,q,r,s)=(32508,67744,42705,7469)",2,75213,"N=75213 (p,q,r,s)=(32508,67744,42705,7469)"
1921281994,2,57555,"N=57555 (p,q,r,s)=(14868,47600,42687,9955)",2,57555,"N=57555 (p,q,r,s)=(14868,47600,42687,9955)"
2009563642,2,48741,"N=48741 (p,q,r,s)=(3920,47940,44821,801)",2,48741,"N=48741 (p,q,r,s)=(3920,47940,44821,801)"
2836991882,2,85709,"N=85709 (p,q,r,s)=(33660,74400,52049,11309)",0,,
3357293554,2,63705,"N=63705 (p,q,r,s)=(16632,29920,47073,33785)",2,63705,"N=63705 (p,q,r,s)=(16632,29920,47073,33785)"
4665865313,2,70448,"N=70448 (p,q,r,s)=(2145,69696,68303,752)",0,,
5712192362,2,87419,"N=87419 (p,q,r,s)=(24948,44880,62471,42539)",0,,
10569876346,2,81795,"N=81795 (p,q,r,s)=(2560,16284,79235,65511)",2,81795,"N=81795 (p,q,r,s)=(2560,16284,79235,65511)"
