delta,intersection,u,fibers,sources,defect_B,defect_C,defect_D,remaining_defect,x,y,N,p,q,r,s,mcc_live,point_in_unit,four_distance_ok,true_solution,notes
289/260,BC,3/5,B+C,B:discovered_from_verified_candidate+hardcoded_seed_730+known_basepoint|C:discovered_from_verified_candidate+hardcoded_seed_730+known_basepoint,1,1,730,730,416/867,260/289,867,416,780,451,87,True,True,False,False,intersection_near_miss:(1-x)^2+(1-y)^2
289/260,CD,15/26,C+D,"C:combo:2,0+discovered_from_verified_candidate|D:discovered_from_verified_candidate+hardcoded_from_C_orbit",730,1,1,730,451/867,260/289,867,451,780,416,87,True,True,False,False,intersection_near_miss:x^2+(1-y)^2
