defect,count,min_N,example_seed,mcc_live_count,min_live_N,min_live_seed
17,2,52,"N=52 (p,q,r,s)=(24,45,28,7)",0,,
730,2,867,"N=867 (p,q,r,s)=(416,780,451,87)",2,867,"N=867 (p,q,r,s)=(416,780,451,87)"
1745,2,306916,"N=306916 (p,q,r,s)=(66585,145908,240331,161008)",0,,
2753,2,329476,"N=329476 (p,q,r,s)=(51867,230520,277609,98956)",0,,
5617,2,7800,"N=7800 (p,q,r,s)=(693,2924,7107,4876)",2,7800,"N=7800 (p,q,r,s)=(693,2924,7107,4876)"
5713,2,996,"N=996 (p,q,r,s)=(520,765,476,231)",2,996,"N=996 (p,q,r,s)=(520,765,476,231)"
9193,2,306456,"N=306456 (p,q,r,s)=(35535,41128,270921,265328)",2,306456,"N=306456 (p,q,r,s)=(35535,41128,270921,265328)"
10193,2,700,"N=700 (p,q,r,s)=(297,396,403,304)",0,,
11698,2,20625,"N=20625 (p,q,r,s)=(1704,20128,18921,497)",2,20625,"N=20625 (p,q,r,s)=(1704,20128,18921,497)"
11986,2,9375,"N=9375 (p,q,r,s)=(7072,7896,2303,1479)",2,9375,"N=9375 (p,q,r,s)=(7072,7896,2303,1479)"
12017,2,44944,"N=44944 (p,q,r,s)=(4365,42228,40579,2716)",0,,
14177,2,3364,"N=3364 (p,q,r,s)=(900,945,2464,2419)",0,,
18922,2,12675,"N=12675 (p,q,r,s)=(4884,8288,7791,4387)",2,12675,"N=12675 (p,q,r,s)=(4884,8288,7791,4387)"
24634,2,195,"N=195 (p,q,r,s)=(48,140,147,55)",2,195,"N=195 (p,q,r,s)=(48,140,147,55)"
35722,2,12675,"N=12675 (p,q,r,s)=(784,9588,11891,3087)",2,12675,"N=12675 (p,q,r,s)=(784,9588,11891,3087)"
51137,2,22472,"N=22472 (p,q,r,s)=(13260,14805,9212,7667)",0,,
60314,2,21125,"N=21125 (p,q,r,s)=(7524,12768,13601,8357)",0,,
69386,2,21125,"N=21125 (p,q,r,s)=(4416,17388,16709,3737)",0,,
120929,2,420500,"N=420500 (p,q,r,s)=(67896,404547,352604,15953)",0,,
143546,2,171125,"N=171125 (p,q,r,s)=(103584,152388,67541,18737)",0,,
151505,2,10952,"N=10952 (p,q,r,s)=(396,1155,10556,9797)",0,,
211553,2,399748,"N=399748 (p,q,r,s)=(46215,231756,353533,167992)",0,,
235418,2,21853,"N=21853 (p,q,r,s)=(5040,11220,16813,10633)",0,,
239857,2,58956,"N=58956 (p,q,r,s)=(1157,51480,57799,7476)",2,58956,"N=58956 (p,q,r,s)=(1157,51480,57799,7476)"
326993,2,174824,"N=174824 (p,q,r,s)=(51120,66975,123704,107849)",0,,
379738,2,14739,"N=14739 (p,q,r,s)=(5040,10780,9699,3959)",2,14739,"N=14739 (p,q,r,s)=(5040,10780,9699,3959)"
506417,2,11492,"N=11492 (p,q,r,s)=(3135,7524,8357,3968)",0,,
507809,2,740,"N=740 (p,q,r,s)=(168,315,572,425)",0,,
737281,2,907740,"N=907740 (p,q,r,s)=(449995,522192,457745,385548)",2,907740,"N=907740 (p,q,r,s)=(449995,522192,457745,385548)"
871690,2,1443,"N=1443 (p,q,r,s)=(644,960,799,483)",2,1443,"N=1443 (p,q,r,s)=(644,960,799,483)"
1432817,2,26588,"N=26588 (p,q,r,s)=(8856,16605,17732,9983)",0,,
1517266,2,2145,"N=2145 (p,q,r,s)=(920,2016,1225,129)",2,2145,"N=2145 (p,q,r,s)=(920,2016,1225,129)"
1826897,2,613832,"N=613832 (p,q,r,s)=(246675,540540,367157,73292)",0,,
1871857,2,504600,"N=504600 (p,q,r,s)=(313313,452016,191287,52584)",2,504600,"N=504600 (p,q,r,s)=(313313,452016,191287,52584)"
1911073,2,181548,"N=181548 (p,q,r,s)=(133480,151515,48068,30033)",2,181548,"N=181548 (p,q,r,s)=(133480,151515,48068,30033)"
1921298,2,239575,"N=239575 (p,q,r,s)=(47424,69768,192151,169807)",0,,
2202481,2,20280,"N=20280 (p,q,r,s)=(4795,8772,15485,11508)",2,20280,"N=20280 (p,q,r,s)=(4795,8772,15485,11508)"
2565721,2,11484,"N=11484 (p,q,r,s)=(3640,9867,7844,1617)",2,11484,"N=11484 (p,q,r,s)=(3640,9867,7844,1617)"
3529633,2,969252,"N=969252 (p,q,r,s)=(554775,714340,414477,254912)",2,969252,"N=969252 (p,q,r,s)=(554775,714340,414477,254912)"
3596905,2,301752,"N=301752 (p,q,r,s)=(19680,39721,282072,262031)",2,301752,"N=301752 (p,q,r,s)=(19680,39721,282072,262031)"
3771226,2,27189,"N=27189 (p,q,r,s)=(17424,17732,9765,9457)",2,27189,"N=27189 (p,q,r,s)=(17424,17732,9765,9457)"
4211729,2,196040,"N=196040 (p,q,r,s)=(9315,192708,186725,3332)",0,,
4521217,2,8400,"N=8400 (p,q,r,s)=(164,1677,8236,6723)",2,8400,"N=8400 (p,q,r,s)=(164,1677,8236,6723)"
4749649,2,564540,"N=564540 (p,q,r,s)=(360315,509936,204225,54604)",2,564540,"N=564540 (p,q,r,s)=(360315,509936,204225,54604)"
5150065,2,393132,"N=393132 (p,q,r,s)=(61215,151156,331917,241976)",2,393132,"N=393132 (p,q,r,s)=(61215,151156,331917,241976)"
5571578,2,285821,"N=285821 (p,q,r,s)=(245700,285120,40121,701)",0,,
6229393,2,410700,"N=410700 (p,q,r,s)=(42693,131824,368007,278876)",2,410700,"N=410700 (p,q,r,s)=(42693,131824,368007,278876)"
6844114,2,6015,"N=6015 (p,q,r,s)=(3432,5600,2583,415)",2,6015,"N=6015 (p,q,r,s)=(3432,5600,2583,415)"
7110353,2,77500,"N=77500 (p,q,r,s)=(15477,53064,62023,24436)",0,,
7822546,2,207831,"N=207831 (p,q,r,s)=(24928,117096,182903,90735)",2,207831,"N=207831 (p,q,r,s)=(24928,117096,182903,90735)"
8576465,2,292136,"N=292136 (p,q,r,s)=(152388,224595,139748,67541)",0,,
9751274,2,163285,"N=163285 (p,q,r,s)=(118800,134316,44485,28969)",0,,
10444513,2,629292,"N=629292 (p,q,r,s)=(61985,154020,567307,475272)",2,629292,"N=629292 (p,q,r,s)=(61985,154020,567307,475272)"
11323217,2,137924,"N=137924 (p,q,r,s)=(67260,70623,70664,67301)",0,,
11452753,2,282348,"N=282348 (p,q,r,s)=(15960,259675,266388,22673)",2,282348,"N=282348 (p,q,r,s)=(15960,259675,266388,22673)"
12312218,2,263917,"N=263917 (p,q,r,s)=(137700,194880,126217,69037)",0,,
12683378,2,60401,"N=60401 (p,q,r,s)=(12480,23400,47921,37001)",0,,
