row_id,N,p,q,r,s,h_pq,h_rq,h_ps,h_rs_square,h_rs_or_sqrt_factor,fourth_norm,defect,primitive,canonical_key,duplicate_of,x,y,yc,v3_x,v3_yc,mcc_live,A,B,C,D,delta,A_in_S,B_in_S,C_in_S,D_in_S,love_relation_ok,notes
1,52,45,24,7,28,51,25,53,False,7*sqrt(17),7*sqrt(17)/52,17,True,52:7:24,,45/52,6/13,-1/26,2,0,False,8/15,28/45,7/24,1/4,13/6,True,True,True,False,True,THREE_DISTANCE_SEED
2,52,24,45,28,7,51,53,25,False,7*sqrt(17),7*sqrt(17)/52,17,True,52:7:24,1,6/13,45/52,19/52,1,0,False,15/8,7/24,28/45,4,52/45,True,True,True,False,True,THREE_DISTANCE_SEED
3,195,140,48,55,147,148,73,203,False,1*sqrt(24634),1*sqrt(24634)/195,24634,True,195:48:55,,28/39,16/65,-33/130,-1,1,True,12/35,21/20,55/48,55/147,65/16,True,True,True,False,True,THREE_DISTANCE_SEED
4,195,48,140,147,55,148,203,73,False,1*sqrt(24634),1*sqrt(24634)/195,24634,True,195:48:55,3,16/65,28/39,17/78,0,-1,True,35/12,55/48,21/20,147/55,39/28,True,True,True,False,True,THREE_DISTANCE_SEED
5,8400,1677,164,6723,8236,1685,6725,8405,False,5*sqrt(4521217),5*sqrt(4521217)/8400,4521217,True,8400:164:1677,,559/2800,41/2100,-1009/2100,0,-1,True,164/1677,8236/1677,6723/164,6723/8236,2100/41,True,True,True,False,True,THREE_DISTANCE_SEED
6,740,315,168,425,572,357,457,653,False,1*sqrt(507809),1*sqrt(507809)/740,507809,True,740:168:315,,63/148,42/185,-101/370,2,0,False,8/15,572/315,425/168,425/572,185/42,True,True,True,False,True,THREE_DISTANCE_SEED
7,700,396,297,304,403,495,425,565,False,5*sqrt(10193),5*sqrt(10193)/700,10193,True,700:297:304,,99/175,297/700,-53/700,2,0,False,3/4,403/396,304/297,304/403,700/297,True,True,True,False,True,THREE_DISTANCE_SEED
8,740,168,315,572,425,357,653,457,False,1*sqrt(507809),1*sqrt(507809)/740,507809,True,740:168:315,6,42/185,63/148,-11/148,1,0,False,15/8,425/168,572/315,572/425,148/63,True,True,True,False,True,THREE_DISTANCE_SEED
9,700,297,396,403,304,495,565,425,False,5*sqrt(10193),5*sqrt(10193)/700,10193,True,700:297:304,7,297/700,99/175,23/350,3,0,False,4/3,304/297,403/396,403/304,175/99,True,True,True,False,True,THREE_DISTANCE_SEED
10,10952,1155,396,9797,10556,1221,9805,10619,False,37*sqrt(151505),37*sqrt(151505)/10952,151505,True,10952:396:1155,,1155/10952,99/2738,-635/1369,1,0,False,12/35,1508/165,9797/396,9797/10556,2738/99,True,True,True,False,True,THREE_DISTANCE_SEED
