delta,u,source,main_fiber,A,B,C,D,defect_B,defect_C,defect_D,score,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,point_in_unit,four_distance_ok,true_solution,height,distance_to_u730,notes
39/11,5/11,B_sample,all,55/48,35/12,147/55,21/20,1,24634,1,24634,16/65,11/39,195,48,55,147,140,0,-1,True,True,False,False,147,8/55,near_miss:(1-x)^2+y^2
65/49,3/7,B_sample,all,21/20,12/35,55/147,55/48,1,24634,1,24634,28/39,49/65,195,140,147,55,48,-1,1,True,True,False,False,147,6/35,near_miss:(1-x)^2+y^2
39/28,2/5,C_sample,all,20/21,55/147,12/35,48/55,24634,1,1,24634,49/65,28/39,195,147,140,48,55,0,-1,True,True,False,False,147,1/5,near_miss:x^2+(1-y)^2
65/16,3/8,C_sample,all,48/55,147/55,35/12,20/21,24634,1,1,24634,11/39,16/65,195,55,48,140,147,-1,1,True,True,False,False,147,9/40,near_miss:x^2+(1-y)^2
39/11,-11/5,B_sample,all,55/48,35/12,147/55,21/20,1,24634,1,24634,16/65,11/39,195,48,55,147,140,0,-1,True,True,False,False,147,14/5,near_miss:(1-x)^2+y^2
65/49,-7/3,B_sample,all,21/20,12/35,55/147,55/48,1,24634,1,24634,28/39,49/65,195,140,147,55,48,-1,1,True,True,False,False,147,44/15,near_miss:(1-x)^2+y^2
39/28,-5/2,C_sample,all,20/21,55/147,12/35,48/55,24634,1,1,24634,49/65,28/39,195,147,140,48,55,0,-1,True,True,False,False,147,31/10,near_miss:x^2+(1-y)^2
65/16,-8/3,C_sample,all,48/55,147/55,35/12,20/21,24634,1,1,24634,11/39,16/65,195,55,48,140,147,-1,1,True,True,False,False,147,49/15,near_miss:x^2+(1-y)^2
12675/11891,11/23,B_sample,all,253/204,196/2397,3087/11891,63/16,1,35722,1,35722,3196/4225,11891/12675,12675,9588,11891,3087,784,0,-1,True,True,False,False,11891,14/115,near_miss:(1-x)^2+y^2
4225/1029,7/9,B_sample,all,63/16,2397/196,11891/3087,253/204,1,35722,1,35722,784/12675,1029/4225,12675,784,3087,11891,9588,-1,0,True,True,False,False,11891,8/45,near_miss:(1-x)^2+y^2
4225/3196,6/17,C_sample,all,204/253,3087/11891,196/2397,16/63,35722,1,1,35722,11891/12675,3196/4225,12675,11891,9588,784,3087,-1,0,True,True,False,False,11891,21/85,near_miss:x^2+(1-y)^2
12675/784,1/8,C_sample,all,16/63,11891/3087,2397/196,204/253,35722,1,1,35722,1029/4225,784/12675,12675,3087,784,9588,11891,1,-1,True,True,False,False,11891,19/40,near_miss:x^2+(1-y)^2
4225/1029,-9/7,B_sample,all,63/16,2397/196,11891/3087,253/204,1,35722,1,35722,784/12675,1029/4225,12675,784,3087,11891,9588,-1,0,True,True,False,False,11891,66/35,near_miss:(1-x)^2+y^2
12675/11891,-23/11,B_sample,all,253/204,196/2397,3087/11891,63/16,1,35722,1,35722,3196/4225,11891/12675,12675,9588,11891,3087,784,0,-1,True,True,False,False,11891,148/55,near_miss:(1-x)^2+y^2
4225/3196,-17/6,C_sample,all,204/253,3087/11891,196/2397,16/63,35722,1,1,35722,11891/12675,3196/4225,12675,11891,9588,784,3087,-1,0,True,True,False,False,11891,103/30,near_miss:x^2+(1-y)^2
12675/784,-8,C_sample,all,16/63,11891/3087,2397/196,204/253,35722,1,1,35722,1029/4225,784/12675,12675,3087,784,9588,11891,1,-1,True,True,False,False,11891,43/5,near_miss:x^2+(1-y)^2
39/11,1/11,D_sample,all,11/60,7/15,-21/11,-3/4,274,562,1,153988,20/13,11/39,39,60,11,-21,28,0,-1,True,False,False,False,60,28/55,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,-1/2,D_sample,all,-4/3,-11/21,15/7,60/11,562,274,1,153988,-7/13,28/39,39,-21,28,60,11,0,-1,True,False,False,False,60,11/10,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,2,D_sample,all,-4/3,-11/21,15/7,60/11,562,274,1,153988,-7/13,28/39,39,-21,28,60,11,0,-1,True,False,False,False,60,7/5,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,-11,D_sample,all,11/60,7/15,-21/11,-3/4,274,562,1,153988,20/13,11/39,39,60,11,-21,28,0,-1,True,False,False,False,60,58/5,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,7/16,D_sample,all,224/207,88/207,15/32,105/88,50593,1249,1,63190657,69/104,28/39,312,207,224,105,88,1,-1,True,True,False,False,224,13/80,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,4/11,D_sample,all,88/105,32/15,207/88,207/224,1249,50593,1,63190657,35/104,11/39,312,105,88,207,224,0,-1,True,True,False,False,224,13/55,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,-16/7,D_sample,all,224/207,88/207,15/32,105/88,50593,1249,1,63190657,69/104,28/39,312,207,224,105,88,1,-1,True,True,False,False,224,101/35,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,-11/4,D_sample,all,88/105,32/15,207/88,207/224,1249,50593,1,63190657,35/104,11/39,312,105,88,207,224,0,-1,True,True,False,False,224,67/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
13/6,-1/12,D_sample,all,-24/143,-28/143,65/8,195/28,21233,4289,1,91068337,-11/4,6/13,52,-143,24,195,28,0,0,False,False,False,False,195,41/60,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
13/6,12,D_sample,all,-24/143,-28/143,65/8,195/28,21233,4289,1,91068337,-11/4,6/13,52,-143,24,195,28,0,0,False,False,False,False,195,57/5,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
13/6,4/15,D_sample,all,120/209,140/209,17/40,51/140,63281,1889,1,119537809,209/260,6/13,260,209,120,51,140,0,0,False,True,False,False,209,1/3,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
13/6,-15/4,D_sample,all,120/209,140/209,17/40,51/140,63281,1889,1,119537809,209/260,6/13,260,209,120,51,140,0,0,False,True,False,False,209,87/20,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,3/10,D_sample,all,60/91,165/637,-13/105,-52/165,432994,11194,1,4846934836,49/45,28/39,585,637,420,-52,165,-2,-1,True,False,False,False,637,3/10,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,15/11,D_sample,all,-165/52,-105/13,637/165,91/60,11194,432994,1,4846934836,-4/45,11/39,585,-52,165,637,420,-2,-1,True,False,False,False,637,42/55,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/11,-11/15,D_sample,all,-165/52,-105/13,637/165,91/60,11194,432994,1,4846934836,-4/45,11/39,585,-52,165,637,420,-2,-1,True,False,False,False,637,4/3,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
39/28,-10/3,D_sample,all,60/91,165/637,-13/105,-52/165,432994,11194,1,4846934836,49/45,28/39,585,637,420,-52,165,-2,-1,True,False,False,False,637,59/15,near_miss:(1-x)^2+y^2;x^2+(1-y)^2
