A,D,B,C,reciprocal_fake,degenerate_infinity,nondegenerate,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,notes
-999/320,-320/999,999/320,320/999,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-176/57,-57/176,176/57,57/176,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-609/200,-200/609,609/200,200/609,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-468/155,-155/468,468/155,155/468,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-900/301,-301/900,900/301,301/900,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-35/12,-12/35,35/12,12/35,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-816/287,-287/816,816/287,287/816,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-408/145,-145/408,408/145,145/408,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-513/184,-184/513,513/184,184/513,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-140/51,-51/140,140/51,51/140,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-759/280,-280/759,759/280,280/759,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-736/273,-273/736,736/273,273/736,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-117/44,-44/117,117/44,44/117,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-352/135,-135/352,352/135,135/352,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-247/96,-96/247,247/96,96/247,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-660/259,-259/660,660/259,259/660,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-425/168,-168/425,425/168,168/425,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-651/260,-260/651,651/260,260/651,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-925/372,-372/925,925/372,372/925,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-12/5,-5/12,12/5,5/12,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-805/348,-348/805,805/348,348/805,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-551/240,-240/551,551/240,240/551,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-884/387,-387/884,884/387,387/884,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-345/152,-152/345,345/152,152/345,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-520/231,-231/520,520/231,231/520,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-187/84,-84/187,187/84,84/187,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-252/115,-115/252,252/115,115/252,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-975/448,-448/975,975/448,448/975,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-800/369,-369/800,800/369,369/800,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-77/36,-36/77,77/36,36/77,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-456/217,-217/456,456/217,217/456,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-459/220,-220/459,459/220,220/459,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-80/39,-39/80,80/39,39/80,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-851/420,-420/851,851/420,420/851,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-273/136,-136/273,273/136,136/273,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-208/105,-105/208,208/105,105/208,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-589/300,-300/589,589/300,300/589,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
-396/203,-203/396,396/203,203/396,True,True,False,,,,,,,,,,False,True,False,False,reciprocal_fake
