category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
one_sided,4/3,65/72,-24/7,-65/28,1,5009,5009,True,False,True,False,-21/44,-7/11,44,-21,-28,65,72,1,0,False,True,False,False,72,8939/2088,13/24,algebraic_but_failed:(1-x)^2+y^2
one_sided,231/520,28/45,153/104,68/33,1,5713,5713,True,False,True,False,130/249,77/332,996,520,231,476,765,-1,0,True,True,False,True,520,5953/1305,93/65,algebraic_but_failed:(1-x)^2+y^2
one_sided,28/45,231/520,104/153,33/68,1,5713,5713,True,False,True,False,255/332,119/249,996,765,476,231,520,1,-1,True,True,False,True,520,214423/45240,451/360,algebraic_but_failed:(1-x)^2+y^2
one_sided,-52/165,9/40,56/33,-63/52,1,6673,6673,True,False,True,False,55/76,-13/57,228,165,-52,63,280,0,-1,True,True,False,False,165,17257/3480,2891/1320,algebraic_but_failed:(1-x)^2+y^2
one_sided,9/40,-52/165,33/56,-52/63,1,6673,6673,True,False,True,False,70/57,21/76,228,280,63,-52,165,-1,0,True,True,False,False,165,8771/1595,33/20,algebraic_but_failed:(1-x)^2+y^2
one_sided,403/396,304/297,3/4,304/403,1,10193,10193,True,False,True,False,99/175,403/700,700,396,403,304,297,2,0,False,True,False,True,403,35833/8613,679/792,algebraic_but_failed:(1-x)^2+y^2
one_sided,304/297,403/396,4/3,403/304,1,10193,10193,True,False,True,False,297/700,76/175,700,297,304,403,396,3,0,False,True,False,True,403,47845/11484,2023/2376,algebraic_but_failed:(1-x)^2+y^2
one_sided,87/416,7/24,987/884,2303/1479,1,11986,11986,True,False,True,False,7072/9375,493/3125,9375,7072,1479,2303,7896,-1,1,True,True,False,True,2303,1135/232,693/416,algebraic_but_failed:(1-x)^2+y^2
one_sided,7/24,87/416,884/987,1479/2303,1,11986,11986,True,False,True,False,2632/3125,2303/9375,9375,7896,2303,1479,7072,0,-1,True,True,False,True,2303,180047/36192,19/12,algebraic_but_failed:(1-x)^2+y^2
one_sided,-117/44,4/3,-483/44,644/117,1,17137,17137,True,False,True,False,-11/150,39/200,600,-44,117,644,483,-1,0,True,True,False,False,644,335/87,399/88,algebraic_but_failed:(1-x)^2+y^2
one_sided,4/3,-117/44,-44/483,117/644,1,17137,17137,True,False,True,False,161/200,161/150,600,483,644,117,-44,0,-1,True,True,False,False,644,30023/3828,13/24,algebraic_but_failed:(1-x)^2+y^2
one_sided,-35/12,104/153,2397/196,-4888/1715,1,19601,19601,True,False,True,False,147/1369,-1715/5476,5476,588,-1715,4888,7191,1,0,False,True,False,False,4888,19985/4437,115/24,algebraic_but_failed:(1-x)^2+y^2
one_sided,104/153,-35/12,196/2397,-1715/4888,1,19601,19601,True,False,True,False,7191/5476,1222/1369,5476,7191,4888,-1715,588,2,0,False,True,False,False,4888,2819/348,1463/1224,algebraic_but_failed:(1-x)^2+y^2
one_sided,21/20,55/48,12/35,55/147,1,24634,24634,True,False,True,False,28/39,49/65,195,140,147,55,48,-1,1,True,True,False,True,147,5621/1392,33/40,algebraic_but_failed:(1-x)^2+y^2
one_sided,55/48,21/20,35/12,147/55,1,24634,24634,True,False,True,False,16/65,11/39,195,48,55,147,140,0,-1,True,True,False,True,147,7193/1740,35/48,algebraic_but_failed:(1-x)^2+y^2
one_sided,253/204,63/16,196/2397,3087/11891,1,35722,35722,True,False,True,False,3196/4225,11891/12675,12675,9588,11891,3087,784,0,-1,True,True,False,True,11891,1735/1392,259/408,algebraic_but_failed:(1-x)^2+y^2
one_sided,63/16,253/204,2397/196,11891/3087,1,35722,35722,True,False,True,False,784/12675,1029/4225,12675,784,3087,11891,9588,-1,0,True,True,False,True,11891,7777/1972,33/16,algebraic_but_failed:(1-x)^2+y^2
one_sided,-39/80,28/45,63/16,-196/39,1,39937,39937,True,False,True,False,20/69,-13/92,276,80,-39,196,315,-1,0,True,True,False,False,196,5953/1305,189/80,algebraic_but_failed:(1-x)^2+y^2
one_sided,28/45,-39/80,16/63,-39/196,1,39937,39937,True,False,True,False,105/92,49/69,276,315,196,-39,80,1,-1,True,True,False,False,196,39473/6960,451/360,algebraic_but_failed:(1-x)^2+y^2
one_sided,-133/156,24/143,187/84,-408/931,1,41329,41329,True,False,True,False,91/125,-931/1500,1500,1092,-931,408,2431,0,-1,True,True,False,False,931,62405/12441,851/312,algebraic_but_failed:(1-x)^2+y^2
one_sided,24/143,-133/156,84/187,-931/408,1,41329,41329,True,False,True,False,2431/1500,34/125,1500,2431,408,-931,1092,-1,1,True,True,False,False,931,9103/1508,1953/1144,algebraic_but_failed:(1-x)^2+y^2
one_sided,451/780,28/45,987/884,9212/7667,1,51137,51137,True,False,True,False,3315/5618,7667/22472,22472,13260,7667,9212,14805,1,0,False,True,False,True,9212,5953/1305,2023/1560,algebraic_but_failed:(1-x)^2+y^2
one_sided,28/45,451/780,884/987,7667/9212,1,51137,51137,True,False,True,False,14805/22472,2303/5618,22472,14805,9212,7667,13260,2,0,False,True,False,True,9212,34727/7540,451/360,algebraic_but_failed:(1-x)^2+y^2
one_sided,-247/96,-9/40,35/12,63/247,1,64978,64978,True,False,True,False,32/11,-247/33,33,96,-247,-63,280,0,-1,True,True,False,False,247,18823/3480,427/96,algebraic_but_failed:(1-x)^2+y^2
one_sided,-9/40,-247/96,12/35,247/63,1,64978,64978,True,False,True,False,280/33,-21/11,33,280,-63,-247,96,-1,0,True,True,False,False,247,21595/2784,21/10,algebraic_but_failed:(1-x)^2+y^2
one_sided,-105/608,91/60,-345/152,299/15,1,89626,89626,True,False,True,False,-608/1485,7/99,1485,-608,105,2093,1380,-3,-2,True,True,False,False,608,2127/580,1245/608,algebraic_but_failed:(1-x)^2+y^2
one_sided,91/60,-105/608,-152/345,15/299,1,89626,89626,True,False,True,False,92/99,2093/1485,1485,1380,2093,105,-608,-2,-3,True,True,False,False,608,283343/52896,43/120,algebraic_but_failed:(1-x)^2+y^2
one_sided,15/112,403/396,-9603/196,-39091/105,1,119674,119674,True,False,True,False,-784/38307,-35/12769,38307,-784,-105,39091,38412,-1,0,True,True,False,False,39091,47845/11484,195/112,algebraic_but_failed:(1-x)^2+y^2
