row_id,N,p,q,r,s,h_pq,h_rq,h_ps,h_rs_square,h_rs_or_sqrt_factor,fourth_norm,defect,primitive,canonical_key,duplicate_of,x,y,yc,v3_x,v3_yc,mcc_live,A,B,C,D,delta,A_in_S,B_in_S,C_in_S,D_in_S,love_relation_ok,notes
24,10879,6864,1152,4015,9727,6960,4177,11905,False,1*sqrt(110734754),1*sqrt(110734754)/10879,110734754,True,10879:1152:4015,,624/989,1152/10879,-8575/21758,1,0,False,24/143,9727/6864,4015/1152,4015/9727,10879/1152,True,True,True,False,True,THREE_DISTANCE_SEED
25,10952,396,1155,10556,9797,1221,10619,9805,False,37*sqrt(151505),37*sqrt(151505)/10952,151505,True,10952:396:1155,10,99/2738,1155/10952,-4321/10952,2,0,False,35/12,9797/396,1508/165,10556/9797,10952/1155,True,True,True,False,True,THREE_DISTANCE_SEED
26,58956,51480,1157,7476,57799,51493,7565,77401,False,119*sqrt(239857),119*sqrt(239857)/58956,239857,True,58956:1157:7476,,4290/4913,1157/58956,-28321/58956,1,-1,True,89/3960,57799/51480,84/13,1068/8257,58956/1157,True,True,True,False,True,THREE_DISTANCE_SEED
27,13156,6837,1440,6319,11716,6987,6481,13565,False,1*sqrt(177194417),1*sqrt(177194417)/13156,177194417,True,13156:1440:6319,,6837/13156,360/3289,-2569/6578,1,0,False,480/2279,11716/6837,6319/1440,6319/11716,3289/360,True,True,True,False,True,THREE_DISTANCE_SEED
28,14355,8036,1440,6319,12915,8164,6481,15211,False,1*sqrt(206726986),1*sqrt(206726986)/14355,206726986,True,14355:1440:6319,,8036/14355,32/319,-255/638,-2,1,True,360/2009,45/28,6319/1440,6319/12915,319/32,True,True,True,False,True,THREE_DISTANCE_SEED
29,9165,5952,1540,3213,7625,6148,3563,9673,False,1*sqrt(68463994),1*sqrt(68463994)/9165,68463994,True,9165:1540:3213,,1984/3055,308/1833,-1217/3666,0,-1,True,385/1488,7625/5952,459/220,3213/7625,1833/308,True,True,True,False,True,THREE_DISTANCE_SEED
30,37635,35360,1596,2275,36039,35396,2779,50489,False,1*sqrt(1303985146),1*sqrt(1303985146)/37635,1303985146,True,37635:1596:2275,,544/579,532/12545,-11481/25090,-1,1,True,399/8840,36039/35360,325/228,2275/36039,12545/532,True,True,True,False,True,THREE_DISTANCE_SEED
31,8400,164,1677,8236,6723,1685,8405,6725,False,5*sqrt(4521217),5*sqrt(4521217)/8400,4521217,True,8400:164:1677,5,41/2100,559/2800,-841/2800,-1,0,True,1677/164,6723/164,8236/1677,8236/6723,2800/559,True,True,True,False,True,THREE_DISTANCE_SEED
32,20625,20128,1704,497,18921,20200,1775,27625,False,175*sqrt(11698),175*sqrt(11698)/20625,11698,True,20625:497:1704,,20128/20625,568/6875,-5739/13750,-1,1,True,213/2516,1113/1184,7/24,71/2703,6875/568,True,True,True,False,True,THREE_DISTANCE_SEED
33,2145,920,2016,1225,129,2216,2359,929,False,1*sqrt(1517266),1*sqrt(1517266)/2145,1517266,True,2145:129:920,21,184/429,672/715,629/1430,-1,0,True,252/115,129/920,175/288,1225/129,715/672,True,True,True,False,True,THREE_DISTANCE_SEED
34,70448,69696,2145,752,68303,69729,2273,97585,False,1*sqrt(4665865313),1*sqrt(4665865313)/70448,4665865313,True,70448:752:2145,,4356/4403,2145/70448,-33079/70448,2,0,False,65/2112,68303/69696,752/2145,752/68303,70448/2145,True,True,True,False,True,THREE_DISTANCE_SEED
35,81795,16284,2560,65511,79235,16484,65561,80891,False,1*sqrt(10569876346),1*sqrt(10569876346)/81795,10569876346,True,81795:2560:16284,,5428/27265,512/16359,-15335/32718,0,-1,True,640/4071,3445/708,65511/2560,65511/79235,16359/512,True,True,True,False,True,THREE_DISTANCE_SEED
36,40365,37488,2740,2877,37625,37588,3973,53113,False,7*sqrt(29059546),7*sqrt(29059546)/40365,29059546,True,40365:2740:2877,,12496/13455,548/8073,-6977/16146,-2,-3,True,685/9372,37625/37488,21/20,411/5375,8073/548,True,True,True,False,True,THREE_DISTANCE_SEED
37,90168,85239,2920,4929,87248,85289,5729,121975,False,17*sqrt(26423905),17*sqrt(26423905)/90168,26423905,True,90168:2920:4929,,28413/30056,365/11271,-10541/22542,2,-1,True,2920/85239,304/297,4929/2920,4929/87248,11271/365,True,True,True,False,True,THREE_DISTANCE_SEED
38,7800,693,2924,7107,4876,3005,7685,4925,False,115*sqrt(5617),115*sqrt(5617)/7800,5617,True,7800:693:2924,14,231/2600,731/1950,-122/975,1,-1,True,2924/693,4876/693,7107/2924,309/212,1950/731,True,True,True,False,True,THREE_DISTANCE_SEED
39,6240,711,3080,5529,3160,3161,6329,3239,False,1*sqrt(40555441),1*sqrt(40555441)/6240,40555441,True,6240:711:3080,15,237/2080,77/156,-1/156,1,-1,True,3080/711,40/9,5529/3080,5529/3160,156/77,True,True,True,False,True,THREE_DISTANCE_SEED
