curve_label,delta,numerator,denominator,polynomial,denominator_square,known_basepoints,sage_status,rank_info
D_fiber,9375/2303,2303*u**2 + 18750*u - 2303,14144*u,5303809*u**4 + 86362500*u**3 + 541007618*u**2 - 86362500*u + 5303809,200052736*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,3125/2632,493*u,-1316*(u - 1)*(u + 1),1731856*u**4 - 3220663*u**2 + 1731856,1731856*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,3125/2632,1316*u**2 + 3125*u - 1316,2632*u,1731856*u**4 + 8225000*u**3 + 13229337*u**2 - 8225000*u + 1731856,6927424*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,3125/2632,1316*u**2 + 3125*u - 1316,493*u,2*(865928*u**4 + 4112500*u**3 + 3272481*u**2 - 4112500*u + 865928),243049*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,9375/7072,2303*u,-3536*(u - 1)*(u + 1),12503296*u**4 - 19702783*u**2 + 12503296,12503296*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,9375/7072,3536*u**2 + 9375*u - 3536,7072*u,12503296*u**4 + 66300000*u**3 + 112897217*u**2 - 66300000*u + 12503296,50013184*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,9375/7072,3536*u**2 + 9375*u - 3536,2303*u,2*(6251648*u**4 + 33150000*u**3 + 34093921*u**2 - 33150000*u + 6251648),5303809*u**2,,Sage unavailable; rank/generator search skipped.,skipped
B_fiber,65/49,32*u,-49*(u - 1)*(u + 1),2401*u**4 - 3778*u**2 + 2401,2401*(u - 1)**2*(u + 1)**2,,Sage unavailable; rank/generator search skipped.,skipped
C_fiber,65/49,49*u**2 + 130*u - 49,98*u,2401*u**4 + 12740*u**3 + 21702*u**2 - 12740*u + 2401,9604*u**2,,Sage unavailable; rank/generator search skipped.,skipped
D_fiber,65/49,49*u**2 + 130*u - 49,32*u,2401*u**4 + 12740*u**3 + 13122*u**2 - 12740*u + 2401,1024*u**2,,Sage unavailable; rank/generator search skipped.,skipped
