category,A,D,B,C,defect_B,defect_C,score,B_in_S,C_in_S,one_sided,both_small,x,y,N,p,q,r,s,v3_x,v3_yc,mcc_live,love_relation_ok,four_distance_ok,point_in_unit,height,distance_to_D0,distance_to_A0,notes
top_score,-60/11,-11/60,60/11,11/60,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,60,3113/580,645/88,degenerate_infinity
top_score,-11/60,-60/11,11/60,60/11,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,60,10181/957,247/120,degenerate_infinity
top_score,16/63,63/16,-16/63,-63/16,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,63,1735/1392,817/504,degenerate_infinity
top_score,63/16,16/63,-63/16,-16/63,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,63,9007/1827,33/16,degenerate_infinity
top_score,-63/16,-16/63,63/16,16/63,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,63,9935/1827,93/16,degenerate_infinity
top_score,-16/63,-63/16,16/63,63/16,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,63,12697/1392,1073/504,degenerate_infinity
top_score,65/72,72/65,-65/72,-72/65,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,72,23051/5655,35/36,degenerate_infinity
top_score,72/65,65/72,-72/65,-65/72,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,72,8939/2088,399/520,degenerate_infinity
top_score,-72/65,-65/72,72/65,65/72,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,72,12709/2088,1551/520,degenerate_infinity
top_score,-65/72,-72/65,65/72,72/65,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,72,35579/5655,25/9,degenerate_infinity
top_score,36/77,77/36,-36/77,-77/36,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,77,3179/1044,867/616,degenerate_infinity
top_score,77/36,36/77,-77/36,-36/77,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,77,31595/6699,19/72,degenerate_infinity
top_score,-77/36,-36/77,77/36,36/77,1,1,1,True,True,False,True,,,,,,,,,,False,True,False,False,77,37859/6699,289/72,degenerate_infinity
